Name,Party,State,Contact,Website,Ideology_Score,Ideology_Rank,Approval_Rate,End_Date
"Cruz, Ted ",Republican,TX,202-224-5922,https://www.cruz.senate.gov,0.914,97,49%,1/3/25
"Daines, Steve ",Republican,MT,202-224-2651,https://www.daines.senate.gov,0.836,79,49%,1/3/21
"Duckworth, Tammy ",Democrat,IL,202-224-2854,https://www.duckworth.senate.gov,0.264,27,41%,1/3/23
"Durbin, Richard ",Democrat,IL,202-224-2152,https://www.durbin.senate.gov,0.154,10,36%,1/3/21
"Enzi, Michael ",Republican,WY,202-224-3424,https://www.enzi.senate.gov,0.83,77,56%,1/3/21
"Ernst, Joni ",Republican,IA,202-224-3254,https://www.ernst.senate.gov/public,0.962,99,40%,1/3/21
"Feinstein, Dianne ",Democrat,CA,202-224-3841,https://www.feinstein.senate.gov,0.212,19,43%,1/3/25
"Fischer, Deb ",Republican,NE,202-224-6551,https://www.fischer.senate.gov,0.822,73,45%,1/3/25
"Gardner, Cory ",Republican,CO,202-224-5941,https://www.gardner.senate.gov,0.729,63,37%,1/3/21
"Gillibrand, Kirsten ",Democrat,NY,202-224-4451,https://www.gillibrand.senate.gov,0.026,3,47%,1/3/25
"Graham, Lindsey ",Republican,SC,202-224-5972,https://www.lgraham.senate.gov/public,0.701,56,51%,1/3/21
"Grassley, Charles",Republican,IA,202-224-3744,https://www.grassley.senate.gov,0.706,58,42%,1/3/23
"Harris, Kamala ",Democrat,CA,202-224-3553,https://www.harris.senate.gov,0,1,43%,1/3/23
"Hassan, Margaret ",Democrat,NH,202-224-3324,https://www.hassan.senate.gov,0.423,40,48%,1/3/23
"Hawley, Joshua ",Republican,MO,202-224-6154,https://www.hawley.senate.gov,0.804,72,0%,1/3/25
"Heinrich, Martin ",Democrat,NM,202-224-5521,https://www.heinrich.senate.gov,0.244,24,42%,1/3/25
"Hirono, Mazie ",Democrat,HI,202-224-6361,https://www.hirono.senate.gov,0.091,6,57%,1/3/25
"Hoeven, John ",Republican,ND,202-224-2551,https://www.hoeven.senate.gov,0.827,75,54%,1/3/23
"Hyde-Smith, Cindy ",Republican,MS,202-224-5054,https://www.hydesmith.senate.gov,0.872,88,42%,1/3/21
"Inhofe, James ",Republican,OK,202-224-4721,https://www.inhofe.senate.gov,0.91,96,38%,1/3/21
"Loeffler,Kelly",Republican,GA,202-224-5323,https://www.loeffler.senate.gov,0.753,68,0%,11/3/20
"Johnson, Ron ",Democrat,WI,202-224-3643,https://www.ronjohnson.senate.gov,0.714,61,38%,1/3/23
"Jones, Doug ",Democrat,AL,202-224-4124,https://www.jones.senate.gov,0.641,51,40%,1/3/21
"Kaine, Timothy ",Republican,VA,202-224-4024,https://www.kaine.senate.gov,0.255,25,47%,1/3/25
"Kennedy, John ",Independent,LA,202-224-4623,https://www.kennedy.senate.gov/public,0.84,81,48%,1/3/23
"King, Angus ",Democrat,ME,202-224-5344,https://www.king.senate.gov,0.447,43,57%,1/3/25
"Klobuchar, Amy ",Republican,MN,202-224-3244,https://www.klobuchar.senate.gov,0.138,9,58%,1/3/25
"Lankford, James ",Democrat,OK,202-224-5754,https://www.lankford.senate.gov,0.878,89,39%,1/3/23
"Leahy, Patrick ",Republican,VT,202-224-4242,https://www.leahy.senate.gov,0.206,18,62%,1/3/23
"Lee, Mike ",Republican,UT,202-224-5444,https://www.lee.senate.gov/public,0.703,57,47%,1/3/23
"Manchin, Joe ",Democrat,WV,202-224-3954,https://www.manchin.senate.gov,0.59,48,43%,1/3/25
"Markey, Edward ",Democrat,MA,202-224-2742,https://www.markey.senate.gov,0.103,7,51%,1/3/21
"McConnell, Mitch ",Republican,KY,202-224-2541,https://www.mcconnell.senate.gov,0.644,52,38%,1/3/21
"McSally, Martha ",Republican,AZ,202-224-2235,https://www.mcsally.senate.gov,0.751,67,0%,1/3/21
"Menendez, Robert ",Democrat,NJ,202-224-4744,https://www.menendez.senate.gov,0.278,30,33%,1/3/25
"Merkley, Jeff ",Democrat,OR,202-224-3753,https://www.merkley.senate.gov,0.073,4,47%,1/3/21
"Moran, Jerry ",Republican,KS,202-224-6521,https://www.moran.senate.gov,0.793,71,38%,1/3/23
"Murkowski, Lisa ",Republican,AK,202-224-6665,https://www.murkowski.senate.gov,0.501,45,39%,1/3/23
"Murphy, Christopher ",Democrat,CT,202-224-4041,https://www.murphy.senate.gov,0.201,17,48%,1/3/25
"Murray, Patty ",Democrat,WA,202-224-2621,https://www.murray.senate.gov/public,0.214,20,45%,1/3/23
"Paul, Rand ",Republican,KY,202-224-4343,https://www.paul.senate.gov,0.646,53,43%,1/3/23
"Perdue, David ",Republican,GA,202-224-3521,https://www.perdue.senate.gov,0.868,87,46%,1/3/21
"Peters, Gary ",Democrat,MI,202-224-6221,https://www.peters.senate.gov,0.424,41,33%,1/3/21
"Portman, Robert ",Republican,OH,202-224-3353,https://www.portman.senate.gov,0.637,50,38%,1/3/23
"Reed, John ",Democrat,RI,202-224-4642,https://www.reed.senate.gov,0.159,12,54%,1/3/21
"Risch, James ",Republican,ID,202-224-2752,https://www.risch.senate.gov,0.887,92,43%,1/3/21
"Roberts, Pat ",Republican,KS,202-224-4774,https://www.roberts.senate.gov,0.854,85,36%,1/3/21
"Romney, Mitt ",Republican,UT,202-224-5251,https://www.romney.senate.gov,0.717,62,0%,1/3/25
"Rosen, Jacky ",Democrat,NV,202-224-6244,https://www.rosen.senate.gov,0.318,35,0%,1/3/25
"Rounds, Mike ",Republican,SD,202-224-5842,https://www.rounds.senate.gov,0.881,90,56%,1/3/21
"Rubio, Marco ",Republican,FL,202-224-3041,https://www.rubio.senate.gov,0.883,91,41%,1/3/23
"Sanders, Bernard",Independent,VT,202-224-5141,https://www.sanders.senate.gov,0.017,2,64%,1/3/25
"Sasse, Benjamin ",Republican,NE,202-224-4224,https://www.sasse.senate.gov/public,0.74,65,46%,1/3/21
"Schatz, Brian ",Democrat,HI,202-224-3934,https://www.schatz.senate.gov,0.224,22,58%,1/3/23
"Schumer, Charles ",Democrat,NY,202-224-6542,https://www.schumer.senate.gov,0.285,32,47%,1/3/23
"Scott, Rick ",Republican,SC,202-224-5274,https://www.rickscott.senate.gov,0.824,74,52%,1/3/25
"Scott, Tim ",Republican,FL,202-224-6121,https://www.scott.senate.gov,0.831,78,52%,1/3/23
"Shaheen, Jeanne ",Democrat,NH,202-224-2841,https://www.shaheen.senate.gov,0.344,38,51%,1/3/21
"Shelby, Richard ",Republican,AL,202-224-5744,https://www.shelby.senate.gov,0.555,46,47%,1/3/23
"Sinema, Kyrsten ",Democrat,AZ,202-224-4521,https://www.sinema.senate.gov,0.691,54,0%,1/3/25
"Smith, Tina ",Democrat,MN,202-224-5641,https://www.smith.senate.gov,0.179,16,43%,1/3/21
"Stabenow, Debbie ",Democrat,MI,202-224-4822,https://www.stabenow.senate.gov,0.222,21,46%,1/3/25
"Sullivan, Dan ",Republican,AK,202-224-3004,https://www.sullivan.senate.gov,0.71,59,40%,1/3/21
"Tester, Jon ",Democrat,MT,202-224-2644,https://www.tester.senate.gov,0.476,44,51%,1/3/25
"Thune, John ",Republican,SD,202-224-2321,https://www.thune.senate.gov,0.762,69,59%,1/3/23
"Tillis, Thom ",Republican,NC,202-224-6342,https://www.tillis.senate.gov,0.865,86,36%,1/3/21
"Toomey, Patrick",Republican,PA,202-224-4254,https://www.toomey.senate.gov,0.713,60,37%,1/3/23
"Udall, Tom ",Democrat,NM,202-224-6621,https://www.tomudall.senate.gov,0.281,31,42%,1/3/21
"Van Hollen, Chris ",Democrat,MD,202-224-4654,https://www.vanhollen.senate.gov,0.157,11,44%,1/3/23
"Warner, Mark ",Democrat,VA,202-224-2023,https://www.warner.senate.gov,0.401,39,49%,1/3/21
"Warren, Elizabeth ",Democrat,MA,202-224-4543,https://www.warren.senate.gov,0.256,26,51%,1/3/25
"Whitehouse, Sheldon ",Democrat,RI,202-224-2921,https://www.whitehouse.senate.gov,0.172,14,51%,1/3/25
"Wicker, Roger ",Republican,MS,202-224-6253,https://www.wicker.senate.gov,0.844,84,50%,1/3/25
"Wyden, Ron ",Democrat,OR,202-224-5244,https://www.wyden.senate.gov,0.174,15,50%,1/3/23
"Young, Todd ",Republican,IN,202-224-5623,https://www.young.senate.gov,0.742,66,39%,1/3/23
